timestamp,gateway_address,node_address,is_alive,success_rate_30s,success_rate_total,pdr_downlink,pdr_uplink,rssi_node_dbm,rssi_gw_dbm,avg_latency_edge_ms,avg_latency_cloud_ms,last_latency_edge_ms,last_latency_cloud_ms
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x9579960F203ADE95,True,100.00%,100.00%,0.00%,0.00%,-34,-42,181.52,181.52,181.52,181.52
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x258B330DDDAFDE9C,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0xECC4E0DBD527FC99,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x0A833E78880C6DC5,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x55DA7FF0F238A844,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x150E3BE9B7C78815,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0xFDB6CC02C854CF1E,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x44E5B4534F8DBC91,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x3EF06E4B72E98CCD,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x83C6ECAC460B23F3,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0xE26E0464A4FE9291,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0xA95D8A2DF55E6C44,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0xF1B028C6B39693A5,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x18AEAF2D1A44956C,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0xBCB2E712F6D078E2,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x4FB05AEE6FCA046D,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:04.168281,0x24374C76B5CF8604,0x7AB893A1407FC78B,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x8C3BDCC588440DCA,True,100.00%,100.00%,0.00%,0.00%,-31,-38,368.57,368.57,368.57,368.57
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x7DE4C0586D06974B,True,100.00%,100.00%,0.00%,0.00%,-33,-43,392.58,392.58,392.58,392.58
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0xE465587BB61A99A9,True,100.00%,100.00%,0.00%,0.00%,-32,-39,419.58,419.58,419.58,419.58
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x9579960F203ADE95,True,100.00%,100.00%,0.00%,0.00%,-34,-42,181.52,181.52,181.52,181.52
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x258B330DDDAFDE9C,True,100.00%,100.00%,0.00%,0.00%,-36,-40,205.68,205.68,205.68,205.68
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0xECC4E0DBD527FC99,True,100.00%,100.00%,0.00%,0.00%,-36,-41,231.57,231.57,231.57,231.57
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x0A833E78880C6DC5,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x55DA7FF0F238A844,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x150E3BE9B7C78815,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0xFDB6CC02C854CF1E,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x44E5B4534F8DBC91,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x3EF06E4B72E98CCD,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x83C6ECAC460B23F3,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0xE26E0464A4FE9291,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0xA95D8A2DF55E6C44,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0xF1B028C6B39693A5,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x18AEAF2D1A44956C,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0xBCB2E712F6D078E2,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x4FB05AEE6FCA046D,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:05.194806,0x24374C76B5CF8604,0x7AB893A1407FC78B,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x8C3BDCC588440DCA,True,100.00%,100.00%,0.00%,0.00%,-27,-34,305.23,305.23,241.88,241.88
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x7DE4C0586D06974B,True,100.00%,100.00%,0.00%,0.00%,-31,-43,239.05,239.05,85.52,85.52
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0xE465587BB61A99A9,True,100.00%,100.00%,0.00%,0.00%,-31,-40,309.02,309.02,198.47,198.47
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x9579960F203ADE95,True,100.00%,100.00%,0.00%,0.00%,-30,-44,244.16,244.16,306.80,306.80
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x258B330DDDAFDE9C,True,100.00%,100.00%,0.00%,0.00%,-34,-42,178.13,178.13,150.57,150.57
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0xECC4E0DBD527FC99,True,100.00%,100.00%,0.00%,0.00%,-36,-43,245.89,245.89,260.21,260.21
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x0A833E78880C6DC5,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x55DA7FF0F238A844,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x150E3BE9B7C78815,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0xFDB6CC02C854CF1E,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x44E5B4534F8DBC91,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x3EF06E4B72E98CCD,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x83C6ECAC460B23F3,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0xE26E0464A4FE9291,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0xA95D8A2DF55E6C44,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0xF1B028C6B39693A5,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x18AEAF2D1A44956C,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0xBCB2E712F6D078E2,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x4FB05AEE6FCA046D,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:06.220208,0x24374C76B5CF8604,0x7AB893A1407FC78B,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0x8C3BDCC588440DCA,True,100.00%,100.00%,0.00%,0.00%,-27,-34,305.23,305.23,241.88,241.88
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0x7DE4C0586D06974B,True,100.00%,100.00%,0.00%,0.00%,-31,-43,239.05,239.05,85.52,85.52
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0xE465587BB61A99A9,True,100.00%,100.00%,0.00%,0.00%,-31,-40,309.02,309.02,198.47,198.47
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0x9579960F203ADE95,True,100.00%,100.00%,0.00%,0.00%,-30,-44,244.16,244.16,306.80,306.80
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0x258B330DDDAFDE9C,True,100.00%,100.00%,0.00%,0.00%,-34,-42,178.13,178.13,150.57,150.57
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0xECC4E0DBD527FC99,True,100.00%,100.00%,0.00%,0.00%,-36,-43,245.89,245.89,260.21,260.21
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0x0A833E78880C6DC5,True,100.00%,100.00%,0.00%,0.00%,-34,-44,372.82,372.82,372.82,372.82
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0x55DA7FF0F238A844,True,100.00%,100.00%,0.00%,0.00%,-30,-38,214.82,214.82,214.82,214.82
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0x150E3BE9B7C78815,True,100.00%,100.00%,0.00%,0.00%,-28,-37,57.85,57.85,57.85,57.85
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0xFDB6CC02C854CF1E,True,100.00%,100.00%,0.00%,0.00%,-26,-33,431.72,431.72,431.72,431.72
2025-09-11T17:17:07.251799,0x24374C76B5CF8604,0x44E5B4534F8DBC91,True,100.00%,100.00%,0.00%,0.00%,-32,-39,274.77,274.77,274.77,274.77
